[05-May-2024 02:20:08 Europe/Berlin] PHP Fatal error:  Uncaught Error: Call to undefined function conectarBBDD() in /var/www/html/index.php:5
Stack trace:
#0 {main}
  thrown in /var/www/html/index.php on line 5
[05-May-2024 02:31:43 Europe/Berlin] PHP Notice:  session_start(): Ignoring session_start() because a session is already active in /var/www/html/php/funciones.php on line 50
[05-May-2024 02:31:50 Europe/Berlin] PHP Notice:  session_start(): Ignoring session_start() because a session is already active in /var/www/html/php/funciones.php on line 50
[05-May-2024 02:31:53 Europe/Berlin] PHP Notice:  session_start(): Ignoring session_start() because a session is already active in /var/www/html/php/funciones.php on line 96
[05-May-2024 02:32:25 Europe/Berlin] PHP Notice:  session_start(): Ignoring session_start() because a session is already active in /var/www/html/php/funciones.php on line 50
[05-May-2024 02:32:39 Europe/Berlin] PHP Notice:  session_start(): Ignoring session_start() because a session is already active in /var/www/html/php/funciones.php on line 50
[05-May-2024 02:35:29 Europe/Berlin] PHP Notice:  session_start(): Ignoring session_start() because a session is already active in /var/www/html/php/funciones.php on line 50
[05-May-2024 02:35:35 Europe/Berlin] PHP Notice:  session_start(): Ignoring session_start() because a session is already active in /var/www/html/php/funciones.php on line 50
[05-May-2024 02:41:25 Europe/Berlin] PHP Warning:  Undefined array key "correoElectronicoUsuario" in /var/www/html/php/funciones.php on line 245
[05-May-2024 02:41:25 Europe/Berlin] PHP Warning:  Trying to access array offset on value of type null in /var/www/html/php/funciones.php on line 252
[05-May-2024 02:41:25 Europe/Berlin] PHP Warning:  Undefined array key "correoElectronicoUsuario" in /var/www/html/php/funciones.php on line 265
[05-May-2024 02:41:25 Europe/Berlin] PHP Warning:  Trying to access array offset on value of type null in /var/www/html/php/funciones.php on line 272
[05-May-2024 02:42:14 Europe/Berlin] PHP Warning:  Undefined array key "correoElectronicoUsuario" in /var/www/html/php/funciones.php on line 245
[05-May-2024 02:42:14 Europe/Berlin] PHP Warning:  Trying to access array offset on value of type null in /var/www/html/php/funciones.php on line 252
[05-May-2024 02:42:14 Europe/Berlin] PHP Warning:  Undefined array key "correoElectronicoUsuario" in /var/www/html/php/funciones.php on line 265
[05-May-2024 02:42:14 Europe/Berlin] PHP Warning:  Trying to access array offset on value of type null in /var/www/html/php/funciones.php on line 272
[05-May-2024 02:42:17 Europe/Berlin] PHP Warning:  Undefined array key "correoElectronicoUsuario" in /var/www/html/php/funciones.php on line 245
[05-May-2024 02:42:17 Europe/Berlin] PHP Warning:  Trying to access array offset on value of type null in /var/www/html/php/funciones.php on line 252
[05-May-2024 02:42:17 Europe/Berlin] PHP Warning:  Undefined array key "correoElectronicoUsuario" in /var/www/html/php/funciones.php on line 265
[05-May-2024 02:42:17 Europe/Berlin] PHP Warning:  Trying to access array offset on value of type null in /var/www/html/php/funciones.php on line 272
[05-May-2024 02:42:20 Europe/Berlin] PHP Warning:  Undefined array key "nombreUsuario" in /var/www/html/index.php on line 47
[05-May-2024 02:47:37 Europe/Berlin] PHP Warning:  Undefined variable $nombre_usuario in /var/www/html/index.php on line 48
[05-May-2024 12:34:50 Europe/Berlin] PHP Warning:  Undefined array key "correoElectronicoUsuario" in /var/www/html/procesar_subida.php on line 26
